ID;Cultivar;Scale;Resistance;Country
34;Betina;5;mr;Ecuador
52;Betina;5;mr;Ecuador
60;Calvache;7;s;Ecuador
33;Carolina;5;mr;Ecuador
42;Carolina ;2;r;Ecuador
38;Cecilia;8;s;Ecuador
51;Chaucha Roja;4;mr;Ecuador
64;Chiwila Negra;8;s;Ecuador
68;Coneja Negra;10;s;Ecuador
65;Diacol-Capiro;8;s;Ecuador
50;I-Catalina ;4;mr;Ecuador
61;I-Cecilia;8;s;Ecuador
44;I-Estela;3;r;Ecuador
46;I-Fripapa ;3;r;Ecuador
58;I-Gabriela;7;s;Ecuador
59;I-Lila Shungo;7;s;Ecuador
49;I-Natividad ;4;mr;Ecuador
28;INIAP-Estela;4;mr;Ecuador
32;INIAP-Fripapa;5;mr;Ecuador
37;INIAP-Gabriela;8;s;Ecuador
30;INIAP-Natividad;4;mr;Ecuador
39;I-Puka Shungo ;1;hr;Ecuador
47;I-Raymipapa;3;r;Ecuador
43;I-Victoria;2;r;Ecuador
54;I-Yana Shungo ;5;mr;Ecuador
57;Jubaleña;6;mr;Ecuador
63;Leona Negra;8;s;Ecuador
40;Libertad ;1;hr;Ecuador
31;Nova;4;mr;Ecuador
45;Nova CC;3;r;Ecuador
27;Pastusa Suprema;3;r;Ecuador
41;Pastusa Suprema;2;r;Ecuador
62;Puña Negra;8;s;Ecuador
35;Roja Nariño;6;mr;Ecuador
56;Roja Nariño;6;mr;Ecuador
36;Superchola;6;mr;Ecuador
53;Superchola ;5;mr;Ecuador
67;Tushpa;9;s;Ecuador
29;Única;4;mr;Ecuador
48;Única;4;mr;Ecuador
66;Uvilla;9;s;Ecuador
55;Wantiva ;5;mr;Ecuador
