ID;Cultivar;Scale;Resistance;Country
8;Amarilis;7;s;Peru
2;Canchan;8;s;Peru
3;Chaska;8;s;Peru
22;Chaucha Cunvicana;3;r;Peru
12;Chucmarina;0;r;Peru
20;Chungolonga;2;r;Peru
4;Diacol capiro;8;s;Peru
21;Kamarita Papa;3;r;Peru
23;Kashpa Ploma;3;r;Peru
6;Liberteña;7;s;Peru
18;Mullu Winku;2;r;Peru
14;Oqe Choqllo;1;r;Peru
24;Pampina;3;r;Peru
7;Perricholi;7;s;Peru
13;Poderosa;0;hr;Peru
15;Puka Imilla;1;r;Peru
11;Serranita;0;r;Peru
19;Siwayllus;2;r;Peru
26;Tarmeña;3;r;Peru
1;Tomasa;9;s;Peru
9;Única;6;mr;Peru
10;Venturana;0;r;Peru
25;Wira Pasña;3;r;Peru
16;Yana Cambru;1;r;Peru
5;Yungay;8;s;Peru
17;Yuraq Choqllo;2;r;Peru
